Date,Mkt-RF,SMB,HML,RF,Mom,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
192802,-1.77,-1.96,-0.63,0.33,-1.29,-2.79,-5.22,-5.7,-1.18,-1.75,0.32,-2.45,-1.38,0.64,-5.61,1.57,-2.74,-2.76,-1.42,0.95,-4.67,-8.08,-1.33,-0.11,-0.7,-0.3,-0.52,2.01,-0.16,-1.35,-8.29,-1.62,-2.59,-2.25,-2.68
192803,8.81,-0.31,-1.3,0.29,5.03,5.02,14.47,2.33,7.79,5.26,9.98,4,7.6,13.11,9.04,6.6,6.2,6.39,25.65,28,6.47,8.04,5.23,5.39,6.58,1.96,-2.44,3.23,10.71,5.78,8.12,8.94,3.47,8.84,8.85
192804,4.08,4.15,3.34,0.22,-3.86,2.69,4.87,-5.89,4.33,21.23,3.54,9.92,2.35,-0.27,-4.83,2.91,1.4,3.48,2.44,1.05,2.19,-0.64,1.95,16.24,10.94,3.22,2.42,1.62,-0.13,4.38,-5.85,0.52,0.47,6.93,10.95
192805,1.52,2.97,-3.57,0.32,1.78,1.54,5.48,-0.11,3.04,17.68,-2.49,-0.94,9.27,2.9,-6.43,-0.45,5.52,4.79,2.14,5.89,-1.69,0.92,0.49,-5.78,1.51,6.47,0.78,3.87,3.73,-0.44,7.95,3.7,14.12,3.4,-0.8
192806,-4.84,-3.53,-0.03,0.31,2.09,-3.85,-4.21,-4.21,-4.83,-10.78,-6.66,-7.17,-3.15,-2.94,-11.33,-3.88,-5.8,-3.19,-5.81,-4.03,-5.84,-3.88,-6.08,-3.86,-3.43,-5.23,-5.25,-3.07,-5.69,-3.83,-7.41,-4.12,-2.81,-9.28,-11.95
192807,0.69,-1.66,-0.11,0.32,2.6,1.25,0.7,3.59,1.46,1.13,0.66,0.53,2.68,1.77,-3.69,0.82,2.8,0.44,-1.01,1.18,-1.52,1.46,-1.07,1.11,-1.15,-1.28,-4.94,5.59,2.82,-0.37,0.32,5.05,-0.6,-0.21,-0.8
192808,6.66,-2.13,-2.11,0.32,3.73,7.62,12.4,3.62,9.25,6.48,9.54,0.17,15.11,8.86,0.64,3.04,9.49,7.54,12.3,9.12,5.79,9.57,1.86,2.4,6.3,4.55,15.16,3.72,11.96,4.03,4.04,12.02,12.33,5.56,12.78
192809,2.85,2,1.07,0.27,4.13,1.9,0.26,-0.31,10.84,-2.36,10.48,-1.13,-1.5,3.71,4.51,4.22,5.58,3.79,0.28,8.13,-0.56,4.64,-1.09,5.49,3.03,0.15,-0.17,2.14,-1.01,0.28,1.06,1.57,-0.03,12.21,-4.06
192810,1.49,2.5,-2.32,0.41,4.33,-0.59,4.04,3.17,-1.06,5.62,8.2,-3.55,-0.08,5.16,6.38,5.56,6.39,2.27,2.11,0.04,-1.15,5.01,-1.69,2.24,-1.78,2.97,5.22,0.95,-6.71,-1.29,18.31,4.2,-2.16,2.52,-5.21
192811,11.73,-1.94,3.12,0.38,1.34,6.77,5.7,6.71,10.88,1.01,16.56,2.57,5.05,12.38,9.52,8.86,14.97,15.87,23.51,4.66,10.15,15.29,6.04,18.1,22.07,6.68,17.77,7.98,6.22,9.38,11.98,14.31,9.35,9.83,3.77
192812,0.4,-0.99,-0.19,0.06,1.54,0.58,-3.84,-1.87,-0.61,-0.49,-3.67,-0.33,-0.28,2.35,-5.57,0.47,3.76,3.35,7.03,-0.09,1.28,2.69,-0.92,-4.31,1.63,-0.38,-7.63,7.53,0.51,0.25,-3.84,-2.59,-3.05,1.39,-12.59
192901,4.9,-2.91,-1.86,0.34,1.63,3.35,9.46,3.88,10.62,1.52,6.63,-1.86,3.16,22.83,-0.09,6.61,7.68,12.2,12.79,0.94,0.94,10.36,1.84,-8.22,13.75,13.38,-0.64,2.28,6.67,4.75,-5.16,-4.35,-0.08,8.58,1.21
192902,-0.35,1.02,1.13,0.36,3.24,-1.67,-4.06,-4.25,1.14,-1.49,-6.92,-4.1,-0.16,-0.16,2.85,-2.45,8.79,1.01,-1.35,0.35,0.97,6.32,0.95,0.02,-2.17,-1.15,11.02,1.51,5.44,-1.44,-3.2,-2.55,0.14,0.03,-6.18
192903,-1.13,-4.48,1.15,0.34,-0.76,-4.76,-2.9,-4,-10.01,-7.05,-7.64,-5.33,-1.93,-3.29,-5.55,-4.06,-0.12,-3.97,5.06,-1.27,0.64,1.21,-6.53,12.15,-3.14,4.29,-1.42,2.33,0.79,-2.83,-9.59,-5.74,-3.47,-1.56,-7.41
192904,1.37,-1.06,0.81,0.36,2.25,3.53,13.64,-2.38,0.62,1.73,0.56,3.77,1.55,3.68,4,3.13,1.84,4.24,1.07,-1.24,-0.21,-4.32,-2.32,0.85,5.44,3.39,3.94,3.88,7.86,1.3,3.58,2.8,10.34,1.17,-10.73
192905,-6.05,-7.18,0.84,0.44,-2.39,-5.27,-11,-0.17,-8.02,0.31,-10.35,-6.58,-7.67,-6.96,-13.81,-6.39,-12.51,-9.55,0.83,-15.13,-7.59,-11.88,-4.74,-5.59,5.41,-8.76,-4.92,-0.88,-8.09,2.54,-6.56,-7.29,-2.78,-1.97,-13.21
192906,9.36,-1.62,-2.54,0.52,9.33,8.18,12.51,-0.26,5.9,10.64,14.73,5.7,4.13,19.88,3.05,3.64,10.79,15.2,19.21,6.76,10.67,4.24,2.01,1.12,22.93,13.7,19.01,8.98,12.57,5.98,-2.98,7.86,18.82,6.5,5.08
192907,4.14,-4.36,1.89,0.33,3.57,4.76,1.61,2.17,-2.38,0.94,6.74,-3.99,2.87,5.08,-3.51,5.71,3.68,5.1,10.16,-3.87,4.98,-2.4,19.6,-0.72,9.25,13.69,-0.73,4.77,7.24,8.34,-3,0.48,1.9,8.56,4.16
192908,8.26,-9.07,-0.11,0.4,5.36,4.49,9.79,8.43,6.16,1.5,5.03,0.98,4.04,11.89,-5.29,2.1,11.84,11.01,12.98,2.09,1.88,9.81,5.13,12.02,10.27,10.99,-3.71,9.52,9.41,8.39,-5.79,7.42,4.71,6.25,-1.58
192909,-5.33,1.38,-1.1,0.35,1.59,-2.4,-2.25,-7.48,-1.82,-1.71,6.22,-4.15,-6.98,-6.76,-2.49,-2.77,-8.98,-5.58,-11.33,-9.09,-9.13,-5.15,-2.21,-2.91,2.85,-1.35,38.7,10.54,-4.55,-7.74,-0.68,-4.72,-3.19,-5.17,-0.43
192910,-20.01,-4.06,9.15,0.46,4.05,-14.66,-26.26,2.67,-17.42,-12.22,-33.65,-9.32,-18.02,-24.56,-24.48,-15.83,-15.62,-21.75,-30.21,-28.06,-21.84,-14.52,-7.03,-10.02,-29.55,-15.41,-13.59,-18.66,-14.85,-7.95,-23.2,-24.07,-19.66,-29.79,-31.47
192911,-12.67,-2.19,4.69,0.37,-0.74,-9.61,-11.85,-6.2,-17.43,-3.36,-13.96,-10.3,-8.53,-16.02,-14.39,-9.85,-13.76,-13.83,-18.38,-17.56,-10.42,-16.28,-4.81,-6.43,-15.62,-9.47,-9.98,-21.97,-13.88,-7.85,-6.67,-12.53,-10.28,-14.31,-15.92
192912,1.44,-4.62,0.22,0.37,3.73,-0.21,2.04,2.92,-8.11,0.21,1.55,3.71,1.4,6.34,-8.45,-2.16,-0.36,3.36,12.87,4.04,3.37,-0.86,-5.89,-0.65,8.05,1,-1.83,4.69,-0.4,-0.05,-0.81,-3.28,3.62,0.52,-8.13
193001,5.53,4.29,-2.13,0.14,-4.36,4.97,-8.61,8.58,25.05,2.1,9.58,3.69,2.24,8.29,12.64,6.53,5.62,8.31,10.92,6.29,2.26,5.21,0.53,-1,7.94,1.19,-48.85,8.6,6.64,3.88,3.1,3.11,11.82,9.56,30.2
193002,2.47,0.62,-0.44,0.3,1.14,-0.01,1.15,5.83,17.75,6.92,-9.63,-0.26,2.88,2.46,5.9,0.92,0.28,4.68,7.72,3.61,6.31,-0.98,4.75,-5.08,9.6,7.06,58.9,7.29,8.43,2.13,-4.61,-5.9,0.1,6.58,-1.57
193003,7.22,3.46,0.66,0.35,-4.45,1.05,-8.27,4.54,16.31,2.47,-0.2,7.27,5.28,10.2,-4.23,4.82,5.52,5.3,9.3,12.7,5.87,1.5,0.96,18.79,9.21,9.1,9.41,4.4,6.33,3.88,-4.9,-2.04,4.96,8.95,5.9
193004,-2.34,-0.65,-1.98,0.21,2.27,3.33,-11.33,-2.91,2.38,0.95,-3.59,-1.13,0.05,-5.34,-8.92,-4.62,-13.21,6.64,3.02,-8.57,-6.59,-14.72,-8.42,7.58,1.92,-4.52,-0.42,-1.55,-2.62,-7.06,4.65,0.88,2.45,-3.37,-3.57
193005,-1.56,-1.85,-1.58,0.26,0.05,1.9,-0.45,1.76,-3.58,-0.87,-8.69,-4.2,-1.22,-2.32,-3.39,-1.61,0.03,-5.74,-4.95,5.06,-5.78,5.68,-2.23,-3.65,0.36,0.46,-14.75,-1.92,-1.06,-0.41,-8.2,-0.05,-1.87,-5.87,-8.09
193006,-16.06,-3.28,1.97,0.27,6.42,-11.62,-29.19,-9.05,-25.75,-11.97,-26.9,-12.44,-11.6,-17.66,-18.82,-17.81,-13.31,-17,-20.03,-22.58,-17.77,-10.62,-11.34,-15.63,-19.86,-8.34,-3.47,-18.14,-17.74,-9.66,-24.09,-14.9,-17.24,-21.68,-18.09
193007,3.77,0.56,-2.54,0.2,-2.64,3.17,1.88,2.93,3.65,3.79,5.12,3.95,6.12,5.39,5.66,7.83,3.48,3.05,4.03,11.82,4.78,4.25,-1.32,5.51,1.82,1.27,1.88,4.24,7.37,3.3,-1.19,3.26,2.66,4.58,8.39
193008,0.33,-2.13,-0.88,0.09,3.64,1.77,9.08,4.58,4.9,-2.69,-0.23,-4.01,8.08,4.29,-0.37,-3.47,-2.5,0.93,1.66,-2.24,0.32,-12.47,2.43,-3.33,1.59,1.74,5.76,4.55,-1.79,0.32,-6.83,4.69,1.72,1.54,-1.02
193009,-12.63,-2.17,-4.45,0.22,11.75,-10.24,-12.2,-8.7,-17.58,-3.55,-8.21,-10.25,-8.71,-14.03,-14.94,-15.17,-11.85,-16.62,-19.94,-16.42,-17.5,-10.65,-5.84,-16.12,-12.04,-5.26,-6.67,-11.38,-13.02,-8.37,-9.68,-9.53,-14.04,-18.14,-17.62
193010,-8.79,-1.02,-0.61,0.09,7.15,-4.85,-1.88,-4.7,-8.91,-6.18,-4.1,-11.69,-4.66,-12.3,-3.83,-15.04,-9,-10.75,-18.64,-11.21,-11.65,-11.15,-11.44,-7.97,-8.71,-4.11,0.27,-12.59,-3.56,-6.59,-5.65,-8.59,-10.47,-15.98,-14.21
193011,-2.73,2.23,-2.9,0.13,-1.23,1.03,3.22,-0.89,-6.27,-3.26,-1.69,5.66,-3.08,0.11,-4.6,-3.01,-1.34,-0.72,-3.61,6.01,3.61,4.47,-9.44,-3.43,-8.07,-3.28,-6.68,-2.14,0.03,-5.42,1.83,3.03,-2.4,-9.01,2.12
193012,-7.84,-4.95,-4.99,0.14,13.63,-4.97,-12.23,-3.1,-14.95,-4.5,-6.12,-10.66,-7.3,-4.67,-3.83,-11.71,-8.83,-9.56,-12.02,-1.54,-14.73,-10.73,-8.66,-12.58,-3.62,-3.8,1,-6.24,-5.87,-7.89,-4.54,-13.17,-8.11,-12.95,-13.17
193101,5.98,3.85,7.56,0.15,-9.99,5.71,7.72,6.53,15.82,1.4,6.26,2.75,7.96,-0.75,11.76,3.42,2.95,5.7,5.02,7.06,11.11,7.93,13.94,4.83,6.15,4.79,5.84,5.54,2.99,11.48,4.62,5.92,6.84,19.26,17.52
193102,10.9,2.72,2.2,0.04,-14.44,7.29,16.7,6.89,8.92,2.42,4.73,11.17,8.59,13.44,15.03,13.4,14.52,12,25.01,17.35,11.45,15.69,-0.64,6.19,15.43,5.95,2.05,14.3,12.79,2.29,-1.9,16.64,11.16,17.72,16.17
193103,-6.54,2.79,-3.07,0.13,9.49,-2.68,-25.37,0.28,-5.05,-1.94,-2.78,-2.11,1.81,-7.27,-5.01,-6.35,-7.23,-8.15,-7.95,-4.13,-7.96,-8.6,-12.89,-14.44,-3.26,-3.58,1.09,-6.36,-0.67,-10.44,-2.34,-4.58,-5.51,-8.38,16.63
193104,-9.93,-4.86,-3.37,0.08,11.46,-8.33,-20.61,2.55,-27.1,-8.98,-3.57,-21.97,-3.69,-12.74,-13.76,-12.69,-17.29,-15.82,-14.6,-7.66,-16.57,-15.31,-9.83,-13.72,-9.95,-4.24,-1.34,-7.39,-8.66,-7.16,-4.34,-4.19,-12.72,-15.4,-18.32
193105,-13.38,5.88,-6.29,0.09,9.17,-12.07,-9.44,-11.03,-23.93,-11.32,-7.59,-3.27,-9.97,-12.12,-8.8,-16.46,-20.64,-19.19,-11.45,-15.95,-16.53,-8.82,-18.76,-12.05,-10.78,-8.94,-50.85,-17.26,-15.2,-17.17,-15.16,-3.9,-6.33,-19.65,-7.3
193106,13.74,-5.67,10.57,0.08,-17.3,10.92,10.64,12.57,22.69,2.06,8.83,11.6,9.58,19.61,10.44,13.78,19.32,12.41,18.56,15.11,21.25,10.44,22.5,17.53,12.12,10.2,1.56,18.46,15.43,16.06,2.71,7.1,5.36,23.53,13.33
193107,-6.57,1.83,-3.76,0.06,7.97,-3.72,-10.21,-3.48,-8.77,-2.19,-2.02,-1.62,3.18,-6.41,-6.54,-10.04,-15.17,-12.05,-10.3,-2.33,-9.2,-8.36,-6.51,-2.94,-5.21,-4.88,-1.55,-9.99,-12.81,-10.51,-8.09,-0.74,-8.39,-8.64,2.48
193108,0.21,-1.11,-2.47,0.03,-3.86,1.57,13.5,-3.49,5.51,-5.98,-1.94,2.33,0.03,1.37,-0.54,-3.24,0.68,-1.71,3.8,-2.63,-3.26,3.28,-1.01,10.27,-1.99,0.82,0.18,3.7,0.87,-6.7,1.1,2.22,0.89,0.06,0.28
193109,-29.06,-0.05,-6.93,0.03,9.98,-28.5,-25.2,-21.31,-42.94,-22.35,-27.52,-24.82,-29.95,-30.32,-25.58,-32.13,-27.1,-33.38,-34.5,-34.9,-30.86,-33.16,7.32,-29.95,-29.84,-21.56,-16.72,-31.65,-23.48,-20.59,-26.55,-28.7,-27.03,-39.47,-25.7
193110,7.86,-1.44,0.44,0.1,2.91,10.71,24.81,6.13,18.86,-16.41,9.29,10.41,11.06,4.94,3.62,7.22,2.12,9.11,11.75,12.25,13.46,13.76,1.13,15.94,10.44,4.36,2.39,10.16,11.31,-3.16,8.01,12.74,10.93,11.04,4.58
193111,-9.09,5.21,-6.05,0.17,7.67,-2.97,-10.74,-6.08,-29.87,-9.43,-5.01,-9.98,-2.45,-5.1,-15.32,-9.54,-10.12,-7.24,-15.88,-3.66,-13.26,-6.75,-25,-8.27,-4.66,-6.83,-3.17,-8.6,-9.7,-21.37,-18.9,-7.15,-14.6,-11.2,-4.12
193112,-13.48,-0.45,-8.96,0.12,14.64,-10.86,-7.57,-6.32,-30.12,-21.11,-10.41,-18.14,-4.11,-6.28,-7.12,-17.01,-25.77,-17.38,-14.16,-8.27,-16.72,-14.19,-7.35,-19.07,-13.29,-7.93,-21.39,-10.97,-12.26,-14.74,-20.86,-13.54,-13.07,-21.4,-13.37
193201,-1.31,3.8,10.69,0.23,-10.43,-1.71,-5.56,8.16,17.57,-4.35,0.9,27.29,-3,-5.79,-0.39,-0.92,3.3,1.33,-14.28,-7.84,12.61,1.59,2.1,-5.14,-2.52,-4.04,-0.78,-3.84,-0.75,7.85,-0.02,0.37,-4.62,4.25,5.43
193202,5.38,-1.24,-5.22,0.23,1.98,7.48,17.88,3.39,6.16,-0.08,2.72,-5.2,2.8,8.85,2.53,10.61,5.3,-1.31,8.6,2.09,1.62,-0.9,0.05,8.99,6.97,11.63,2.11,0.26,11.52,-4.01,3.59,3.13,7.6,14.22,4.11
193203,-11.06,1.74,-1.03,0.16,10.71,-6.88,-10.6,-4.33,-21.96,-11.75,-12.92,-5.46,-6.87,-11.44,-8.17,-13.55,-16.49,-12.6,-17.16,-22.21,-21.3,-7.44,-3.56,-0.18,-9.51,-9.9,-1.5,-6.78,-8.4,-17.61,-44.47,-7.98,-7.04,-14.87,-13.25
193204,-18.08,1.95,-0.63,0.11,7.26,-13.04,-9.88,-9.89,-24.1,-13.84,-5.81,-16.1,-19.91,-33.31,-16.09,-15.93,-19.83,-20.43,-22.93,-28.58,-14.91,-14.87,-3.17,-13.92,-15.59,-12.38,-5.01,-27,-29.38,-24.87,-4.96,-14.53,-19.68,-18.64,-16.53
193205,-20.81,4.5,-4.03,0.06,13.23,-23.27,-24.73,-21.36,-44.45,-27.08,-13.8,-16.94,-34.74,-9.99,-19.4,-18.33,-23.03,-21.08,-33.83,-18.49,-24.59,-11.19,-27.34,-4.55,-26.83,-10.8,-2.23,-15.53,-15.42,-33.73,-34.96,-30.25,-26.44,-30.31,-15.66
193206,-0.51,-0.41,5.47,0.02,3.82,0.31,19.26,5.93,12.16,-17.94,-13.63,10.64,10.43,-5.01,-7.92,2.41,2.22,-5.54,10.2,-7.59,9.78,-9.51,-0.82,5.98,1.54,-9.55,-20.11,0.84,-3.57,-2.98,5.3,-2.78,0.67,6.47,-2.11
193207,33.72,-5.95,35.48,0.03,-44.84,30.07,19.14,24.96,63.61,41.51,9.43,2.85,29.95,28.78,32.64,35.46,62.24,43.7,55.41,44.71,44.66,45.57,20.69,34.96,29.18,16.67,24.3,18.78,21.06,61.15,15.23,27.61,25.38,51.23,29.4
193208,36.57,19.2,27.67,0.03,-50.63,23.76,38.35,17.66,66.81,36.64,24.13,54.18,37.46,36.33,56.14,35.69,58.8,51.94,50.03,48.37,44.06,31.74,16.58,17.3,43.16,28.16,-0.6,31.63,42.54,65.35,55.53,34.73,24.68,59.85,37.98
193209,-3.12,-2.44,-6.38,0.03,1.49,-1.15,-2.83,0.17,-10.54,1.75,1.38,-9.2,-12.86,5.65,-10.35,1.46,-10.06,-4.08,-6.03,5.77,9.76,-4.15,-17.01,-10.32,-4.61,0.25,-1.88,-4.17,-3.27,-2.45,25.83,0.29,1.5,-6.9,-8.57
193210,-13.14,-2.63,-9.98,0.02,4.31,-9.33,-12.13,-13.8,-25.74,-19.66,-10.03,-11.56,-19.42,-16.21,-14.06,-15.3,-15.67,-22.4,-21.29,-24.66,-21.21,-8.6,-9.79,-3.01,-10.88,-8.12,-2.85,-11.3,-3.93,-19.63,-19.42,-11.2,-14.33,-16.8,-8.47
193211,-5.59,1.4,-12.26,0.02,-2.85,-6.75,-5.15,-8.33,-9.95,-3.46,-4.85,-5.53,6.32,-1.65,-9.39,-5.97,-22.69,-6.55,-9.37,-2.67,-6.83,1.56,11.93,-4.1,-3.38,-1.12,0.26,-4.89,-2.98,-9.5,-10.23,-5.1,-6.52,-3.78,-9.61
193212,4.57,-9.68,-6.87,0.01,5,6.46,6.23,0.92,-12.98,-9.61,0.17,3.63,8.11,12.92,-5.22,1.19,-8.01,2.91,7.56,5.22,6,-1.42,-1,0.28,9.11,3.67,-1.53,7.85,9.08,5.92,-9.88,7.08,3.64,8.91,-3.97
193301,0.97,-0.9,8.25,0.01,-1.12,0.7,-14.92,11.56,-24.65,1.71,-2.54,4.82,-1.3,3.93,-2.32,-1.51,2.45,6.73,0.41,0.76,10.94,0.15,3.77,-2.99,-4.46,0.3,9.07,4.35,10.6,14.42,-6.09,-2.74,8.97,1.79,-1.93
193302,-14.98,-3.22,-2.9,-0.03,4.33,-9.36,-10.48,-8.4,-19.78,-19.29,-15.68,-11.14,-10.12,-16.46,-9.53,-16.06,-16.59,-23.4,-22.41,-24.87,-17.3,-9.57,-6.76,-13.68,-19.69,-7.78,-10.65,-13.98,-12.83,-16.37,-7.37,-15.81,-18.14,-20.06,-4.58
193303,3.36,4.87,6.93,0.04,3.01,12.4,24.54,7.93,-10.6,11.2,11.42,4.84,-3.94,5.2,1.16,12.55,14.6,24.02,7.29,9.62,13.15,8.61,2.25,4.16,-12.68,-5.83,0.89,3.59,6.74,7,0.06,8.02,0.93,-6.42,1.14
193304,38.27,5.8,18.52,0.1,-15.52,33.48,28.43,33.3,57.89,53.43,52.2,48.67,38.66,46.99,57.05,38.05,80.72,48.74,59.62,81.93,48.17,28.46,-24.45,39.16,24.76,13.19,1.55,38.28,43.38,27.8,44.09,37.75,9.72,41.08,45.99
193305,21.15,38.84,14.89,0.04,-5.45,11.26,89.18,9.2,56.33,21.46,19.52,37.05,24.87,28.67,44.77,43.28,23.1,29.95,18.73,25.21,25.68,33.3,16.65,17.35,19.26,17.37,12.05,21.8,14.93,32.44,59.21,15.74,23.71,25.4,42.37
193306,13.42,8.5,-2.72,0.02,3.12,13.67,35.33,4.65,16.7,27.03,4.15,8.78,10.85,11.7,33.17,20.41,11.04,14.73,10.27,19.81,19.84,14.16,18.09,12.14,15.6,10.48,4.48,12.09,5.32,13.73,47.71,16.18,11.58,18.52,15.26
193307,-9.63,-0.41,0.59,0.02,0.53,-8.08,-15.01,-2.17,-7.92,-20.08,-7.43,-5.64,-19.43,-9.27,-18.38,-14.68,-10.13,-19.99,-11.32,-6.71,-16.42,-9.52,-11.05,-11.6,-13.54,-4.35,-1.11,-9.85,-5.57,-4.49,-12.66,-13.62,-16.19,-12.52,-1.12
193308,12.1,-5.78,3.78,0.03,7.23,8.98,33.23,10.16,27.51,19.81,9.78,4.64,-0.29,21.09,13.59,13.55,11.54,19.67,13.45,19.88,23.95,18.53,7.76,19.08,-1.3,4.5,-2.12,10.89,10.62,15.64,12.6,7.24,8.01,9.23,21.94
193309,-10.49,0.26,-13.44,0.02,1.7,-8.75,-5.76,-3.69,-8.34,-24.2,-12.93,-6.27,-2.7,-7.72,-13.61,-14.83,-8.78,-15.73,-19.32,-15.11,-14.08,4.28,-3.56,-2.05,-19.82,-3.55,-3.23,-11.12,-4.18,-20.09,-21.3,-8.44,-12.29,-17.41,-10.57
193310,-8.33,0.4,-8.55,0.01,-2.35,-7.67,-3.14,-11.49,-12.64,-5.01,-4.55,-8.66,-5.91,-4.5,-11.21,-6.48,-12.67,-5.37,-10.93,-10.24,-13.4,-4.88,-10,-4.53,-7.75,-7.18,67.19,-6.51,-2.73,-12.54,-7.12,-8.45,-16.99,-13.39,-6.82
193311,9.97,-6.83,2.1,0.02,5.8,5.45,-7.32,4.41,5.69,-1.16,8.28,9.43,9.39,15.6,1.81,9.88,11.16,13.35,12.07,25.63,12.28,1.42,4.35,14.84,-2.68,5.61,-0.14,14.14,10.53,6.36,7.57,14.18,6.31,6.7,9.88
193312,1.98,0.65,-1.41,0.02,3.28,-3.29,-1.04,-4.81,-3.39,3.46,-4.53,3.81,-11.2,6.74,7.39,3.25,5.01,2.3,0.54,9.55,8.34,-0.32,-1.32,-1.09,1.48,-3.75,-0.98,3.52,3.19,6.95,-7.43,6.47,-0.57,4.05,6.77
193401,12.93,11.16,16.42,0.05,-3.46,10.82,15.4,6.64,15.92,23.47,11.1,23.37,16.27,4.63,28.9,17.44,12.79,18.72,17.38,13.02,24.12,2.57,27.81,8.34,20.58,5.96,4.87,12.3,4.28,20.66,24.81,20.93,31.49,24.99,12.5
193402,-2.35,5.09,2.51,0.02,-0.6,-6.04,-12.46,-3.09,10.29,1.46,-0.77,-3.22,-3.41,-2.63,1.27,-6.07,-1.92,-4.06,-8.2,-2.55,-8.38,1.44,3.12,-3.44,-1.81,2.14,-0.51,-2.11,2.24,-3.17,5.97,2.59,6.11,-1.65,5.51
